,hidden,reg,lr,acc
0,128,0.0,0.1,0.11258333333333333
1,128,0.0,0.01,0.4573666666666666
2,128,0.0,0.001,0.9455
3,128,0.0,0.0001,0.8819833333333333
4,128,0.1,0.1,0.11258333333333333
5,128,0.1,0.01,0.40231666666666666
6,128,0.1,0.001,0.9450333333333333
7,128,0.1,0.0001,0.8876333333333333
8,128,0.01,0.1,0.11325
9,128,0.01,0.01,0.35856666666666664
10,128,0.01,0.001,0.9445499999999999
11,128,0.01,0.0001,0.88095
12,128,0.001,0.1,0.11261666666666666
13,128,0.001,0.01,0.42755
14,128,0.001,0.001,0.9474500000000001
15,128,0.001,0.0001,0.88285
16,256,0.0,0.1,0.11258333333333333
17,256,0.0,0.01,0.44365
18,256,0.0,0.001,0.9497333333333333
19,256,0.0,0.0001,0.8963833333333333
20,256,0.1,0.1,0.11263333333333332
21,256,0.1,0.01,0.47178333333333333
22,256,0.1,0.001,0.9480999999999999
23,256,0.1,0.0001,0.8979833333333334
24,256,0.01,0.1,0.11396666666666666
25,256,0.01,0.01,0.40296666666666664
26,256,0.01,0.001,0.9497166666666667
27,256,0.01,0.0001,0.8919833333333334
28,256,0.001,0.1,0.11246666666666667
29,256,0.001,0.01,0.5195333333333333
30,256,0.001,0.001,0.9498333333333333
31,256,0.001,0.0001,0.8932166666666668
32,512,0.0,0.1,0.11258333333333333
33,512,0.0,0.01,0.8692833333333333
34,512,0.0,0.001,0.9566666666666667
35,512,0.0,0.0001,0.9032333333333333
36,512,0.1,0.1,0.11274999999999999
37,512,0.1,0.01,0.5464166666666667
38,512,0.1,0.001,0.9535333333333333
39,512,0.1,0.0001,0.9041
40,512,0.01,0.1,0.11666666666666667
41,512,0.01,0.01,0.6419
42,512,0.01,0.001,0.9550166666666666
43,512,0.01,0.0001,0.9028833333333333
44,512,0.001,0.1,0.1125
45,512,0.001,0.01,0.7882166666666667
46,512,0.001,0.001,0.9541833333333333
47,512,0.001,0.0001,0.9054500000000001
